Country,Continent,labsh2019
Angola,Africa,33.11423361
Argentina,Americas,54.39176559
Armenia,Europe,54.86719608
Aruba,Europe,64.51061368
Australia,Oceania,57.16451406
Austria,Europe,58.38595033
Azerbaijan,Europe,25.41870773
Bahamas,Americas,39.72102702
Bahrain,Asia,29.70528901
Barbados,Americas,75.05659461
Belarus,Europe,59.25414562
Belgium,Europe,59.48109627
Benin,Africa,61.71550155
Bermuda,Africa,58.81041288
Bolivia,Americas,49.85069036
Bosnia and Herzegovina,Europe,67.11022854
Botswana,Africa,27.79609859
Brazil,Americas,57.79953599
Virgin Islands,Americas,38.05582523
Bulgaria,Europe,52.76587605
Burkina Faso,Africa,46.09280229
Burundi,Africa,60.62182188
Cabo Verde,Africa,62.67478466
Cameroon,Africa,50.35288334
Canada,Americas,65.48804045
Cayman Islands,Africa,48.04945886
Central African Republic,Africa,16.43157899
Chad,Africa,49.26427901
Chile,Americas,43.96144152
China,Asia,58.62529278
Hong Kong,Asia,51.853019
Macao,Asia,31.86563253
Colombia,Americas,49.52113628
Costa Rica,Americas,57.9785943
Ivory Coast,Americas,33.40987563
Croatia,Europe,59.05457735
Curacao,Americas,68.10311675
Cyprus,Europe,55.27140498
Czech Republic,Europe,54.92497087
Denmark,Europe,62.03920841
Djibouti,Africa,63.35685849
Dominican Republic,Americas,42.68774688
Ecuador,Americas,66.69591069
Egypt,Africa,36.20356321
Estonia,Europe,58.83529782
Swaziland,Africa,61.20788455
Fiji,Oceania,48.86264801
Finland,Europe,57.12717175
France,Europe,62.41320372
Gabon,Africa,27.48646438
Georgia,Europe,44.64278817
Germany,Europe,64.19044137
Greece,Europe,55.08901477
Guatemala,Americas,49.32730496
Guinea,Africa,41.96007252
Honduras,Americas,56.35051131
Hungary,Europe,55.54229021
Iceland,Europe,64.18328285
India,Asia,52.18037367
Indonesia,Asia,46.3750571
Iran,Asia,35.58191061
Iraq,Asia,29.63063121
Ireland,Europe,31.68363273
Israel,Asia,55.29853106
Italy,Europe,52.2367239
Jamaica,Americas,59.48693752
Japan,Asia,56.36439919
Jordan,Asia,49.01242852
Kazakhstan,Asia,38.07241917
Kenya,Africa,68.22230816
Kuwait,Asia,24.94926304
Kyrgyzstan,Asia,47.98436463
Laos,Asia,39.79842067
Latvia,Europe,57.134974
Lebanon,Asia,44.48042214
Lesotho,Africa,66.11288786
Lithuania,Europe,53.54927182
Luxembourg,Europe,56.29857183
Malaysia,Asia,39.59816098
Malta,Europe,51.37290359
Mauritania,Africa,40.408957
Mauritius,Africa,42.61361063
Mexico,Americas,36.02636755
Mongolia,Asia,40.27844369
Morocco,Africa,48.54007363
Mozambique,Africa,41.48620963
Namibia,Africa,51.1087656
Netherlands,Europe,59.58938599
New Zealand,Oceania,55.24154305
Nicaragua,Americas,55.21008968
Niger,Africa,44.99404132
Nigeria,Africa,46.52418494
North Macedonia,Europe,49.41080511
Norway,Europe,52.85035372
Oman,Asia,30.26687205
Panama,Americas,30.63083887
Paraguay,Americas,44.93828416
Peru,Americas,44.72122788
Philippines,Asia,49.6991843
Poland,Europe,57.97079206
Portugal,Europe,58.62915516
Qatar,Asia,17.61969179
South Korea,Asia,51.72492862
Republic of Moldova,Asia,53.06442976
Romania,Europe,50.45833588
Russia,Europe,53.92012
Rwanda,Africa,74.10100698
Sao Tome and Principe,Europe,73.83179665
Saudi Arabia,Asia,28.08816433
Senegal,Africa,48.61788452
Serbia,Europe,60.26785374
Sierra Leone,Africa,54.75667119
Singapore,Asia,43.94681156
Slovakia,Europe,57.3765099
Slovenia,Europe,63.66991997
South Africa,Africa,57.08882809
Spain,Europe,55.54321408
Sri Lanka,Asia,41.14750028
Sudan,Africa,63.49855065
Suriname,Americas,45.21561265
Sweden,Europe,55.66661954
Switzerland,Europe,68.41003299
Taiwan,Asia,65.09206295
Tajikistan,Asia,44.42666471
Thailand,Asia,63.72031569
Togo,Africa,80.6201458
Trinidad and Tobago,Americas,33.82320404
Tunisia,Africa,50.16765594
Turkey,Europe,43.68312657
Tanzania,Oceania,58.36724639
Ukraine,Europe,55.84412217
UK,Europe,58.96447301
USA,Americas,59.70911384
Uruguay,Americas,47.39719033
Uzbekistan,Asia,42.7631557
Venezuela,Americas,42.85714328
Zambia,Africa,39.03005421
Zimbabwe,Africa,53.33811045
